codes_SdC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
GCF28723,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF25520,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF36791,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF28783,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF58753,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF26713,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF32148,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF26408,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
GCF28891,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
PYF10098,Pas de donnees attendues,Pas de donnees attendues,Pas de donnees attendues,PZ0 attendu,PZ0 attendu,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues,donnees annuelles attendues
