nom_ancienne_region,ift_moyen_gcpe_can
Alsace,2.14
Aquitaine,1.87
Auvergne,2.35
Basse-Normandie,3.41
Bourgogne,3.8
Bretagne,2.82
Centre-Val de Loire,4.32
Champagne-Ardenne,4.52
Franche-Comté,3.92
Guadeloupe,1.7
Haute-Normandie,5.34
La Réunion,3.2
Languedoc-Roussillon,1.94
Limousin,1.25
Lorraine,3.11
Martinique,3.2
Midi-Pyrénées,2.23
Nord-Pas-de-Calais,5.54
Pays de la Loire,2.98
Picardie,5.04
Poitou-Charentes,3.46
Rhône-Alpes,2.08
