nom_ancienne_region,ift_moyen_gcpe_can
Alsace,2.12
Aquitaine,2.11
Auvergne,2.69
Basse-Normandie,4.57
Bourgogne,3.28
Bretagne,2.91
Centre-Val de Loire,4.57
Champagne-Ardenne,4.16
Franche-Comté,3.65
Guadeloupe,0.0
Haute-Normandie,6.05
La Réunion,0.0
Languedoc-Roussillon,2.18
Limousin,1.4
Lorraine,3.29
Martinique,0.0
Midi-Pyrénées,2.08
Nord-Pas-de-Calais,4.43
Pays de la Loire,3.19
Picardie,4.84
Poitou-Charentes,3.26
Rhône-Alpes,2.36
